outcome	goal
successful	1500
failed	7000
failed	8000
successful	88
failed	15000
successful	500
failed	250000
successful	6500
successful	2000
successful	1000
successful	500
successful	10000
failed	15000
failed	22000
successful	2500
failed	7000
successful	3000
failed	45000
successful	1650
successful	15000
failed	16000
failed	25000
successful	1000
failed	12500
failed	10000
successful	2000
successful	5000
failed	7000
failed	10000
failed	7200
successful	1800
successful	10000
successful	100
successful	25000
failed	37323
successful	18000
failed	3000
failed	37000
successful	1000
failed	2700
successful	6000
successful	9000
failed	14000
successful	3500
successful	2000
failed	8400
failed	15000
successful	5000
failed	100
successful	100000
failed	16500
successful	4000
successful	6000
failed	14000
successful	500
failed	10000
successful	2500
successful	15000
failed	10000
successful	3800
successful	1000
failed	12500
successful	10000
successful	10000
failed	30000
successful	25000
successful	18000
successful	10
successful	1000
failed	5500
failed	25000
failed	12000
successful	5000
successful	20000
successful	6500
failed	56000
failed	7500
successful	3600
failed	10000
failed	900
successful	20000
successful	5000
failed	12300
failed	5000
successful	7500
failed	2000
successful	7000
successful	20000
failed	10000
failed	12000
successful	8800
successful	30000
successful	3500
successful	1000
successful	5000
failed	18000
successful	1000
failed	15750
successful	5000
successful	1000
failed	4000
successful	500
failed	30000
successful	12000
successful	9000
successful	500
successful	25000
successful	8000
successful	1000
successful	4200
successful	5000
successful	10000
successful	8000
successful	2000
failed	20000
successful	6000
successful	50
successful	5000
live	680
successful	24000
failed	80000
successful	19000
successful	12500
failed	35000
failed	6000
successful	28000
successful	30000
successful	35000
failed	25000
successful	4000
successful	15000
failed	50000
successful	16000
successful	4097
successful	3500
successful	10000
failed	50000
successful	10000
successful	20000
failed	2000
successful	8000
successful	25000
suspended	200
successful	5000
failed	5000
successful	4500
successful	14500
successful	8300
failed	100000
successful	5000
failed	7500
failed	2530
successful	2000
successful	7000
successful	4000
successful	7500
failed	500
successful	15000
failed	12000
successful	15000
failed	15000
successful	3000
successful	3000
failed	8000
failed	25000
failed	25000
successful	1000
successful	10000
failed	8000
successful	875
successful	3000
successful	10000
successful	1600
successful	10000
successful	10000
successful	75000
successful	3000
failed	6000
successful	20000
successful	8000
failed	2500
failed	3000
failed	1500
successful	5000
successful	5000
failed	25000
failed	16000
successful	15000
failed	800
successful	10000
successful	40000
failed	12000
failed	3000
successful	5000
successful	500
failed	750
successful	250000
successful	7100
successful	600
successful	10000
failed	5000
successful	500
successful	425
successful	6000
successful	6000
failed	25000
successful	250
successful	4000
successful	10000
failed	60000
successful	250
successful	1000
successful	2000
successful	3000
failed	20000
successful	7000
successful	9000
failed	30000
successful	6000
successful	13
failed	5000
successful	6000
failed	110000
successful	1000
successful	20000
failed	18500
successful	800
failed	41000
successful	20000
failed	6900
successful	5000
successful	500
successful	1000
successful	6000
successful	10000
successful	2500
successful	5000
failed	14000
successful	5000
successful	5000
failed	2000
successful	9000
failed	40000
failed	16000
successful	5972
successful	100000
successful	500
successful	500
successful	5000
failed	2500
successful	500
failed	30000
failed	5000
failed	2500
failed	40000
successful	10000
failed	400
successful	500
successful	5500
successful	500
failed	5000
failed	11000
successful	25000
successful	25000
successful	15000
failed	12500
successful	4000
successful	2200
failed	7500
successful	5000
successful	20000
successful	30000
successful	6000
successful	25
successful	1000
successful	15800
failed	25000
successful	75000
successful	500
failed	5000
successful	8000
failed	2500
successful	1200
successful	7500
successful	500
failed	2608
failed	2500
live	1500
successful	18000
failed	9000
failed	4250
failed	12000
successful	15000
successful	10000
successful	560
failed	14500
successful	200
successful	1500
successful	3000
failed	11400
successful	6000
successful	7500
failed	49000
failed	4200
failed	75000
failed	15000
successful	4175
failed	6000
successful	19750
successful	4000
successful	10000
successful	5000
failed	65000
successful	5000
successful	500
successful	12000
failed	38000
failed	20000
successful	1000
failed	30000
successful	39500
successful	1000
successful	6000
failed	2000
successful	60000
successful	8000
failed	2000
live	3000
successful	10000
successful	11500
successful	2000
successful	5000
successful	10000
successful	20000
failed	6000
failed	5000
successful	30000
successful	500
failed	20000
successful	1000
successful	2000
failed	18000
successful	2200
successful	450
successful	3700
successful	25000
successful	30000
successful	49000
failed	11000
failed	2500
failed	10000
successful	17000
successful	15000
failed	5000
successful	1000
